what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145104080
activated,view,com.vp.vpsde.ec,5.2.1.2,"com.vp.vpsde.ec.views.DiagramTreeView",1317145104115
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317145105889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145110489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145137449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145138461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145151663
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317145154782
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317145158429
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317145260024
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317145273616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317145390756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145415847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145482404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145494471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145495855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145499392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145500926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145502502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145503788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145527728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145536988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145547807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145548355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145549983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145557879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317145576607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145579400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145594408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145605734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145606673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145607916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145614815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145636394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145660940
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317145682239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145685065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145689917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145715328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145721905
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1317145734847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317145739238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145760176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145763212
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317145767698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317145821080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317145823909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317145829683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145836835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145850465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317145859470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317145864211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145866858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317145993425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317146580293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317146580477
